epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.4419,1.05349,3.2859,0.00892,0.02371,0.57877,0.25234,0.20838,0.6807,3.0646,0.00652,0.00032867,0.00032867,0.00032867
2,31.6994,0.87278,2.15674,0.00711,0.80891,0.20897,0.28632,0.23439,0.758,2.2449,0.00715,0.000649466,0.000649466,0.000649466
3,43.8712,0.86202,1.61875,0.00715,0.64259,0.30021,0.50179,0.38177,0.73776,1.59222,0.00717,0.000947627,0.000947627,0.000947627
4,56.4759,0.84712,1.44859,0.00698,0.69952,0.54214,0.61084,0.47097,0.79598,1.54132,0.00817,0.00122315,0.00122315,0.00122315
5,67.3146,0.84484,1.29959,0.00665,0.64937,0.66942,0.71474,0.5672,0.76938,1.14538,0.00759,0.00124037,0.00124037,0.00124037
6,77.9869,0.81768,1.18661,0.00646,0.7522,0.65824,0.75741,0.57961,0.73587,1.12551,0.00711,0.00119322,0.00119322,0.00119322
7,87.7788,0.7941,1.11263,0.00637,0.71618,0.69814,0.77703,0.60102,0.70916,0.93614,0.00691,0.00114606,0.00114606,0.00114606
8,98.4675,0.77587,1.03922,0.00619,0.74246,0.7307,0.79577,0.61233,0.71181,0.93134,0.00675,0.0010989,0.0010989,0.0010989
9,111.152,0.7662,0.98538,0.0062,0.7836,0.74993,0.83946,0.64276,0.72081,0.8472,0.00714,0.00105174,0.00105174,0.00105174
10,121.751,0.75422,0.94475,0.00614,0.78425,0.74906,0.82036,0.67457,0.59984,0.7618,0.00569,0.00100459,0.00100459,0.00100459
11,130.852,0.72826,0.91115,0.00605,0.76984,0.77514,0.83546,0.67404,0.61533,0.71716,0.00587,0.00095743,0.00095743,0.00095743
12,141.96,0.73202,0.88952,0.0057,0.80442,0.75101,0.83911,0.67343,0.64012,0.70772,0.00621,0.000910273,0.000910273,0.000910273
13,152.238,0.71891,0.83647,0.00567,0.73608,0.80193,0.84067,0.70728,0.58439,0.65639,0.00555,0.000863116,0.000863116,0.000863116
14,162.692,0.72928,0.81231,0.00576,0.87172,0.7432,0.85681,0.67744,0.61129,0.64946,0.00575,0.000815959,0.000815959,0.000815959
15,172.267,0.72467,0.79814,0.00569,0.87461,0.76901,0.86895,0.71801,0.61292,0.63439,0.00587,0.000768802,0.000768802,0.000768802
16,182.216,0.70895,0.77163,0.00575,0.84914,0.7787,0.87519,0.72129,0.61886,0.61526,0.00581,0.000721645,0.000721645,0.000721645
17,192.989,0.69327,0.76104,0.00563,0.79577,0.80818,0.8674,0.71758,0.57725,0.60378,0.00551,0.000674488,0.000674488,0.000674488
18,203.525,0.67269,0.72319,0.00536,0.84694,0.73439,0.86482,0.72266,0.60417,0.59254,0.0058,0.000627331,0.000627331,0.000627331
19,213.882,0.67412,0.695,0.00531,0.83777,0.80866,0.87903,0.71294,0.5744,0.55401,0.00541,0.000580174,0.000580174,0.000580174
20,223.785,0.68008,0.70086,0.00542,0.84871,0.8266,0.891,0.74095,0.57192,0.54715,0.00544,0.000533017,0.000533017,0.000533017
21,236.815,0.63583,0.73921,0.00589,0.88409,0.75715,0.88091,0.73029,0.59533,0.61075,0.0057,0.00048586,0.00048586,0.00048586
22,246.901,0.64436,0.72615,0.00613,0.85544,0.77765,0.87838,0.72184,0.59918,0.63174,0.00568,0.000438703,0.000438703,0.000438703
23,256.961,0.62822,0.68634,0.00607,0.796,0.82175,0.87819,0.72163,0.5954,0.58605,0.00574,0.000391546,0.000391546,0.000391546
24,265.712,0.60987,0.67382,0.0057,0.83672,0.81529,0.87946,0.74805,0.56193,0.53641,0.00535,0.000344389,0.000344389,0.000344389
25,275.493,0.59656,0.6452,0.00553,0.86389,0.79148,0.87709,0.73388,0.55665,0.53327,0.00527,0.000297232,0.000297232,0.000297232
26,285.761,0.58691,0.62728,0.00534,0.8572,0.80139,0.87776,0.74409,0.55815,0.51793,0.00526,0.000250075,0.000250075,0.000250075
27,295.464,0.58971,0.62335,0.00536,0.84643,0.79017,0.87545,0.74981,0.56416,0.51836,0.00533,0.000202918,0.000202918,0.000202918
28,304.398,0.58606,0.61686,0.00553,0.83012,0.80512,0.87694,0.75336,0.53779,0.50415,0.00504,0.000155761,0.000155761,0.000155761
29,314.406,0.5741,0.60917,0.00525,0.82317,0.81652,0.87666,0.75184,0.551,0.50642,0.00518,0.000108604,0.000108604,0.000108604
30,324.457,0.56732,0.59907,0.00531,0.81513,0.82028,0.8767,0.75461,0.52803,0.49858,0.00497,6.1447e-05,6.1447e-05,6.1447e-05
